Reef ,Date,Boat Type,Number of Boats
McAllister,10/18/2015,Small,5
McAllister,10/18/2015,Large,1
McAllister,10/22/2015,Small,6
McAllister,10/22/2015,Large,0
McAllister,10/26/2015,Small,2
McAllister,10/26/2015,Large,0
McAllister,10/31/2015,Small,8
McAllister,10/31/2015,Large,0
McAllister,11/4/2015,Small,19
McAllister,11/4/2015,Large,0
McAllister,11/15/2015,Small,2
McAllister,11/15/2015,Large,0
McAllister,12/7/2015,Small,1
McAllister,12/7/2015,Large,0
McAllister,12/12/2015,Small,3
McAllister,12/12/2015,Large,0
McAllister,5/26/2008,Small,0
McAllister,5/26/2008,Large,1
McAllister,6/2/2008,Small,0
McAllister,6/2/2008,Large,0
McAllister,7/21/2008,Small,1
McAllister,7/21/2008,Large,0
McAllister,7/28/2008,Small,3
McAllister,7/28/2008,Large,1
McAllister,9/17/2008,Small,8
McAllister,9/17/2008,Large,0
McAllister,10/2/2008,Small,0
McAllister,10/2/2008,Large,0
McAllister,10/21/2008,Small,0
McAllister,10/21/2008,Large,0
McAllister,11/2/2008,Small,6
McAllister,11/2/2008,Large,1
McAllister,12/14/2008,Small,1
McAllister,12/14/2008,Large,0
McAllister,12/23/2008,Small,0
McAllister,12/23/2008,Large,0
McAllister,1/21/2009,Small,0
McAllister,1/21/2009,Large,0
Moriches,4/7/1995,Small,0
Moriches,4/7/1995,Large,0
Moriches,5/14/1995,Small,0
Moriches,5/14/1995,Large,0
Moriches,6/10/1995,Small,0
Moriches,6/10/1995,Large,0
Moriches,7/9/1995,Small,0
Moriches,7/9/1995,Large,0
Moriches,8/19/1995,Small,0
Moriches,8/19/1995,Large,0
Moriches,9/2/1995,Small,3
Moriches,9/2/1995,Large,0
Moriches,10/9/1995,Small,0
Moriches,10/9/1995,Large,0
Moriches,11/17/1995,Small,2
Moriches,11/17/1995,Large,0
Moriches,4/21/1996,Small,1
Moriches,4/21/1996,Large,0
Moriches,5/22/1996,Small,0
Moriches,5/22/1996,Large,0
Moriches,6/26/1996,Small,0
Moriches,6/26/1996,Large,0
Moriches,7/6/1996,Small,0
Moriches,7/6/1996,Large,0
Moriches,8/25/1996,Small,0
Moriches,8/25/1996,Large,0
Moriches,9/21/1996,Small,0
Moriches,9/21/1996,Large,0
Moriches,10/26/1996,Small,0
Moriches,10/26/1996,Large,0
Moriches,11/11/1996,Small,0
Moriches,11/11/1996,Large,0
Moriches,4/22/1997,Small,0
Moriches,4/22/1997,Large,0
Moriches,4/26/1997,Small,0
Moriches,4/26/1997,Large,0
Moriches,5/11/1997,Small,0
Moriches,5/11/1997,Large,0
Moriches,5/27/1997,Small,0
Moriches,5/27/1997,Large,0
Moriches,7/5/1997,Small,2
Moriches,7/5/1997,Large,0
Moriches,7/29/1997,Small,0
Moriches,7/29/1997,Large,0
Moriches,8/16/1997,Small,1
Moriches,8/16/1997,Large,0
Moriches,8/25/1997,Small,4
Moriches,8/25/1997,Large,6
Moriches,9/4/1997,Small,0
Moriches,9/4/1997,Large,0
Moriches,9/14/1997,Small,1
Moriches,9/14/1997,Large,1
Moriches,10/4/1997,Small,3
Moriches,10/4/1997,Large,0
Moriches,10/8/1997,Small,2
Moriches,10/8/1997,Large,0
Moriches,11/21/1997,Small,1
Moriches,11/21/1997,Large,0
Moriches,5/3/2000,Small,3
Moriches,5/3/2000,Large,0
Moriches,5/27/2000,Small,4
Moriches,5/27/2000,Large,0
Moriches,6/10/2000,Small,7
Moriches,6/10/2000,Large,0
Moriches,6/30/2000,Small,3
Moriches,6/30/2000,Large,0
Moriches,5/11/2001,Small,0
Moriches,5/11/2001,Large,0
Moriches,6/9/2001,Small,10
Moriches,6/9/2001,Large,0
Moriches,6/21/2001,Small,0
Moriches,6/21/2001,Large,2
Moriches,7/7/2001,Small,13
Moriches,7/7/2001,Large,0
Moriches,7/30/2001,Small,0
Moriches,7/30/2001,Large,0
Moriches,8/16/2001,Small,7
Moriches,8/16/2001,Large,0
Moriches,10/25/2001,Small,0
Moriches,10/25/2001,Large,0
Moriches,11/21/2001,Small,2
Moriches,11/21/2001,Large,0
Moriches,12/1/2001,Small,0
Moriches,12/1/2001,Large,0
Moriches,12/22/2001,Small,0
Moriches,12/22/2001,Large,0
Moriches,6/8/2002,Small,8
Moriches,6/8/2002,Large,0
Moriches,6/26/2002,Small,1
Moriches,6/26/2002,Large,0
Moriches,7/8/2002,Small,4
Moriches,7/8/2002,Large,0
Moriches,7/30/2002,Small,0
Moriches,7/30/2002,Large,0
Moriches,8/25/2002,Small,18
Moriches,8/25/2002,Large,0
Moriches,8/26/2002,Small,5
Moriches,8/26/2002,Large,0
Moriches,9/13/2002,Small,3
Moriches,9/13/2002,Large,1
Moriches,9/29/2002,Small,5
Moriches,9/29/2002,Large,0
Moriches,10/15/2002,Small,0
Moriches,10/15/2002,Large,0
Moriches,10/31/2002,Small,0
Moriches,10/31/2002,Large,0
Moriches,11/15/2002,Small,0
Moriches,11/15/2002,Large,0
Moriches,12/7/2002,Small,0
Moriches,12/7/2002,Large,0
Moriches,12/13/2002,Small,2
Moriches,12/13/2002,Large,0
Moriches,5/29/2003,Small,1
Moriches,5/29/2003,Large,0
Moriches,5/31/2003,Small,5
Moriches,5/31/2003,Large,0
Moriches,6/6/2003,Small,5
Moriches,6/6/2003,Large,0
Moriches,6/24/2003,Small,14
Moriches,6/24/2003,Large,0
Moriches,7/6/2003,Small,1
Moriches,7/6/2003,Large,0
Moriches,7/18/2003,Small,1
Moriches,7/18/2003,Large,0
Moriches,8/19/2003,Small,2
Moriches,8/19/2003,Large,0
Moriches,8/28/2003,Small,0
Moriches,8/28/2003,Large,0
Moriches,9/5/2003,Small,0
Moriches,9/5/2003,Large,0
Moriches,9/6/2003,Small,0
Moriches,9/6/2003,Large,0
Moriches,9/30/2003,Small,10
Moriches,9/30/2003,Large,0
Moriches,10/18/2003,Small,13
Moriches,10/18/2003,Large,0
Moriches,10/30/2003,Small,3
Moriches,10/30/2003,Large,0
Moriches,11/22/2003,Small,9
Moriches,11/22/2003,Large,0
Moriches,12/9/2003,Small,0
Moriches,12/9/2003,Large,0
Moriches,12/12/2003,Small,0
Moriches,12/12/2003,Large,0
Moriches,5/7/2004,Small,0
Moriches,5/7/2004,Large,0
Moriches,6/5/2004,Small,0
Moriches,6/5/2004,Large,0
Moriches,6/12/2004,Small,9
Moriches,6/12/2004,Large,0
Moriches,6/28/2004,Small,0
Moriches,6/28/2004,Large,0
Moriches,7/26/2004,Small,0
Moriches,7/26/2004,Large,0
Moriches,8/4/2004,Small,1
Moriches,8/4/2004,Large,0
Moriches,8/14/2004,Small,0
Moriches,8/14/2004,Large,0
Moriches,8/28/2004,Small,3
Moriches,8/28/2004,Large,0
Moriches,9/21/2004,Small,1
Moriches,9/21/2004,Large,0
Moriches,10/4/2004,Small,10
Moriches,10/4/2004,Large,0
Moriches,10/31/2004,Small,0
Moriches,10/31/2004,Large,0
Moriches,11/16/2004,Small,7
Moriches,11/16/2004,Large,0
Moriches,11/17/2004,Small,8
Moriches,11/17/2004,Large,0
Moriches,12/12/2004,Small,0
Moriches,12/12/2004,Large,0
Moriches,12/16/2004,Small,0
Moriches,12/16/2004,Large,0
Moriches,12/26/2004,Small,0
Moriches,12/26/2004,Large,0
Moriches,5/30/2005,Small,4
Moriches,5/30/2005,Large,0
Moriches,5/31/2005,Small,0
Moriches,5/31/2005,Large,0
Moriches,6/1/2005,Small,0
Moriches,6/1/2005,Large,0
Moriches,6/12/2005,Small,0
Moriches,6/12/2005,Large,0
Moriches,8/18/2005,Small,0
Moriches,8/18/2005,Large,0
Moriches,8/23/2005,Small,2
Moriches,8/23/2005,Large,0
Moriches,9/23/2005,Small,2
Moriches,9/23/2005,Large,0
Moriches,10/2/2005,Small,19
Moriches,10/2/2005,Large,0
Moriches,12/23/2008,Small,5
Moriches,12/23/2008,Large,0
Moriches,1/21/2009,Small,0
Moriches,1/21/2009,Large,0
Moriches,5/29/2006,Small,3
Moriches,5/29/2006,Large,0
Moriches,9/13/2006,Small,0
Moriches,9/13/2006,Large,0
Moriches,10/31/2006,Small,6
Moriches,10/31/2006,Large,0
Moriches,11/3/2006,Small,6
Moriches,11/3/2006,Large,0
Moriches,12/19/2006,Small,1
Moriches,12/19/2006,Large,0
Moriches,5/13/2007,Small,0
Moriches,5/13/2007,Large,0
Moriches,5/22/2007,Small,2
Moriches,5/22/2007,Large,0
Moriches,5/29/2007,Small,1
Moriches,5/29/2007,Large,0
Moriches,7/4/2007,Small,1
Moriches,7/4/2007,Large,0
Moriches,7/12/2007,Small,1
Moriches,7/12/2007,Large,0
Moriches,8/13/2007,Small,0
Moriches,8/13/2007,Large,0
Moriches,8/19/2007,Small,15
Moriches,8/19/2007,Large,0
Moriches,10/14/2007,Small,3
Moriches,10/14/2007,Large,0
Moriches,10/30/2007,Small,2
Moriches,10/30/2007,Large,0
Moriches,10/31/2007,Small,8
Moriches,10/31/2007,Large,1
Moriches,11/14/2007,Small,2
Moriches,11/14/2007,Large,1
Moriches,11/17/2007,Small,1
Moriches,11/17/2007,Large,0
Moriches,12/6/2007,Small,1
Moriches,12/6/2007,Large,1
Moriches,12/29/2014,Small,1
Moriches,12/29/2014,Large,0
Moriches,12/14/2014,Small,0
Moriches,12/14/2014,Large,0
Moriches,10/30/2014,Small,3
Moriches,10/30/2014,Large,0
Moriches,10/25/2014,Small,6
Moriches,10/25/2014,Large,0
Moriches,11/15/2014,Small,4
Moriches,11/15/2014,Large,0
Moriches,10/6/2014,Small,0
Moriches,10/6/2014,Large,0
Moriches,9/5/2014,Small,11
Moriches,9/5/2014,Large,0
Moriches,8/24/2014,Small,0
Moriches,8/24/2014,Large,0
Moriches,8/19/2014,Small,1
Moriches,8/19/2014,Large,2
Moriches,8/17/2014,Small,1
Moriches,8/17/2014,Large,0
Moriches,7/23/2014,Small,0
Moriches,7/23/2014,Large,0
Moriches,6/27/2014,Small,0
Moriches,6/27/2014,Large,0
Moriches,6/14/2014,Small,0
Moriches,6/14/2014,Large,0
Moriches,4/15/2015,Small,0
Moriches,4/15/2015,Large,0
Moriches,4/18/2015,Small,0
Moriches,4/18/2015,Large,0
Moriches,5/29/2015,Small,0
Moriches,5/29/2015,Large,0
Moriches,5/30/2015,Small,1
Moriches,5/30/2015,Large,0
Moriches,6/17/2015,Small,3
Moriches,6/17/2015,Large,0
Moriches,7/11/2015,Small,0
Moriches,7/11/2015,Large,0
Moriches,7/21/2015,Small,6
Moriches,7/21/2015,Large,0
Moriches,8/9/2015,Small,3
Moriches,8/9/2015,Large,1
Moriches,8/15/2015,Small,5
Moriches,8/15/2015,Large,0
Moriches,8/24/2015,Small,2
Moriches,8/24/2015,Large,1
Moriches,10/18/2015,Small,0
Moriches,10/18/2015,Large,0
Moriches,10/22/2015,Small,0
Moriches,10/22/2015,Large,0
Moriches,10/26/2015,Small,4
Moriches,10/26/2015,Large,0
Moriches,10/31/2015,Small,11
Moriches,10/31/2015,Large,1
Moriches,11/4/2015,Small,8
Moriches,11/4/2015,Large,0
Moriches,11/15/2015,Small,0
Moriches,11/15/2015,Large,0
Moriches,12/7/2015,Small,0
Moriches,12/7/2015,Large,0
Moriches,12/12/2015,Small,0
Moriches,12/12/2015,Large,1
Moriches,5/26/2008,Small,3
Moriches,5/26/2008,Large,0
Moriches,6/2/2008,Small,0
Moriches,6/2/2008,Large,0
Moriches,7/21/2008,Small,1
Moriches,7/21/2008,Large,0
Moriches,7/27/2008,Small,1
Moriches,7/27/2008,Large,0
Moriches,7/28/2008,Small,2
Moriches,7/28/2008,Large,0
Moriches,9/17/2008,Small,3
Moriches,9/17/2008,Large,0
Moriches,10/2/2008,Small,0
Moriches,10/2/2008,Large,0
Moriches,10/21/2008,Small,0
Moriches,10/21/2008,Large,0
Moriches,11/2/2008,Small,6
Moriches,11/2/2008,Large,1
Moriches,12/14/2008,Small,1
Moriches,12/14/2008,Large,0
Moriches,12/23/2008,Small,0
Moriches,12/23/2008,Large,0
Moriches,1/21/2009,Small,0
Moriches,1/21/2009,Large,0
Rockaway,4/7/1995,Small,0
Rockaway,4/7/1995,Large,0
Rockaway,5/14/1995,Small,9
Rockaway,5/14/1995,Large,0
Rockaway,6/10/1995,Small,4
Rockaway,6/10/1995,Large,0
Rockaway,7/9/1995,Small,40
Rockaway,7/9/1995,Large,0
Rockaway,8/19/1995,Small,0
Rockaway,8/19/1995,Large,0
Rockaway,9/2/1995,Small,37
Rockaway,9/2/1995,Large,7
Rockaway,10/9/1995,Small,36
Rockaway,10/9/1995,Large,5
Rockaway,11/17/1995,Small,2
Rockaway,11/17/1995,Large,0
Rockaway,4/21/1996,Small,0
Rockaway,4/21/1996,Large,0
Rockaway,5/22/1996,Small,5
Rockaway,5/22/1996,Large,1
Rockaway,6/26/1996,Small,2
Rockaway,6/26/1996,Large,2
Rockaway,7/6/1996,Small,50
Rockaway,7/6/1996,Large,10
Rockaway,8/25/1996,Small,4
Rockaway,8/25/1996,Large,0
Rockaway,9/21/1996,Small,51
Rockaway,9/21/1996,Large,1
Rockaway,10/26/1996,Small,1
Rockaway,10/26/1996,Large,0
Rockaway,11/11/1996,Small,1
Rockaway,11/11/1996,Large,0
Rockaway,4/22/1997,Small,2
Rockaway,4/22/1997,Large,0
Rockaway,4/26/1997,Small,1
Rockaway,4/26/1997,Large,0
Rockaway,5/11/1997,Small,5
Rockaway,5/11/1997,Large,4
Rockaway,5/27/1997,Small,6
Rockaway,5/27/1997,Large,0
Rockaway,7/5/1997,Small,51
Rockaway,7/5/1997,Large,11
Rockaway,7/29/1997,Small,4
Rockaway,7/29/1997,Large,2
Rockaway,8/16/1997,Small,14
Rockaway,8/16/1997,Large,4
Rockaway,8/25/1997,Small,12
Rockaway,8/25/1997,Large,0
Rockaway,9/4/1997,Small,0
Rockaway,9/4/1997,Large,1
Rockaway,9/14/1997,Small,38
Rockaway,9/14/1997,Large,4
Rockaway,10/4/1997,Small,39
Rockaway,10/4/1997,Large,1
Rockaway,10/8/1997,Small,19
Rockaway,10/8/1997,Large,1
Rockaway,11/21/1997,Small,4
Rockaway,11/21/1997,Large,0
Rockaway,5/3/2000,Small,9
Rockaway,5/3/2000,Large,1
Rockaway,5/27/2000,Small,18
Rockaway,5/27/2000,Large,3
Rockaway,6/10/2000,Small,61
Rockaway,6/10/2000,Large,5
Rockaway,6/30/2000,Small,17
Rockaway,6/30/2000,Large,8
Rockaway,5/11/2001,Small,1
Rockaway,5/11/2001,Large,0
Rockaway,6/9/2001,Small,9
Rockaway,6/9/2001,Large,0
Rockaway,6/21/2001,Small,0
Rockaway,6/21/2001,Large,3
Rockaway,7/7/2001,Small,55
Rockaway,7/7/2001,Large,1
Rockaway,7/30/2001,Small,0
Rockaway,7/30/2001,Large,1
Rockaway,8/16/2001,Small,13
Rockaway,8/16/2001,Large,0
Rockaway,10/25/2001,Small,3
Rockaway,10/25/2001,Large,0
Rockaway,11/21/2001,Small,4
Rockaway,11/21/2001,Large,0
Rockaway,12/1/2001,Small,4
Rockaway,12/1/2001,Large,0
Rockaway,12/22/2001,Small,0
Rockaway,12/22/2001,Large,0
Rockaway,6/8/2002,Small,6
Rockaway,6/8/2002,Large,2
Rockaway,6/26/2002,Small,8
Rockaway,6/26/2002,Large,5
Rockaway,7/8/2002,Small,8
Rockaway,7/8/2002,Large,4
Rockaway,7/30/2002,Small,9
Rockaway,7/30/2002,Large,2
Rockaway,8/25/2002,Small,61
Rockaway,8/25/2002,Large,1
Rockaway,8/26/2002,Small,7
Rockaway,8/26/2002,Large,0
Rockaway,9/10/2002,Small,10
Rockaway,9/10/2002,Large,1
Rockaway,9/13/2002,Small,7
Rockaway,9/13/2002,Large,0
Rockaway,9/29/2002,Small,35
Rockaway,9/29/2002,Large,3
Rockaway,10/15/2002,Small,4
Rockaway,10/15/2002,Large,0
Rockaway,10/31/2002,Small,13
Rockaway,10/31/2002,Large,1
Rockaway,11/15/2002,Small,7
Rockaway,11/15/2002,Large,1
Rockaway,12/7/2002,Small,0
Rockaway,12/7/2002,Large,0
Rockaway,12/13/2002,Small,0
Rockaway,12/13/2002,Large,0
Rockaway,5/29/2003,Small,11
Rockaway,5/29/2003,Large,4
Rockaway,5/31/2003,Small,23
Rockaway,5/31/2003,Large,6
Rockaway,6/6/2003,Small,22
Rockaway,6/6/2003,Large,4
Rockaway,6/24/2003,Small,32
Rockaway,6/24/2003,Large,5
Rockaway,7/6/2003,Small,55
Rockaway,7/6/2003,Large,0
Rockaway,7/18/2003,Small,15
Rockaway,7/18/2003,Large,2
Rockaway,8/19/2003,Small,21
Rockaway,8/19/2003,Large,2
Rockaway,8/28/2003,Small,20
Rockaway,8/28/2003,Large,5
Rockaway,9/5/2003,Small,1
Rockaway,9/5/2003,Large,1
Rockaway,9/6/2003,Small,20
Rockaway,9/6/2003,Large,1
Rockaway,9/30/2003,Small,5
Rockaway,9/30/2003,Large,3
Rockaway,10/18/2003,Small,19
Rockaway,10/18/2003,Large,4
Rockaway,10/30/2003,Small,15
Rockaway,10/30/2003,Large,0
Rockaway,11/22/2003,Small,15
Rockaway,11/22/2003,Large,0
Rockaway,12/9/2003,Small,1
Rockaway,12/9/2003,Large,0
Rockaway,12/12/2003,Small,0
Rockaway,12/12/2003,Large,0
Rockaway,5/7/2004,Small,2
Rockaway,5/7/2004,Large,0
Rockaway,6/5/2004,Small,3
Rockaway,6/5/2004,Large,0
Rockaway,6/12/2004,Small,68
Rockaway,6/12/2004,Large,4
Rockaway,6/28/2004,Small,8
Rockaway,6/28/2004,Large,0
Rockaway,7/26/2004,Small,0
Rockaway,7/26/2004,Large,0
Rockaway,8/4/2004,Small,9
Rockaway,8/4/2004,Large,0
Rockaway,8/14/2004,Small,0
Rockaway,8/14/2004,Large,0
Rockaway,8/28/2004,Small,36
Rockaway,8/28/2004,Large,0
Rockaway,10/4/2004,Small,67
Rockaway,10/4/2004,Large,2
Rockaway,10/31/2004,Small,17
Rockaway,10/31/2004,Large,2
Rockaway,11/16/2004,Small,10
Rockaway,11/16/2004,Large,0
Rockaway,11/17/2004,Small,24
Rockaway,11/17/2004,Large,0
Rockaway,12/12/2004,Small,4
Rockaway,12/12/2004,Large,0
Rockaway,12/16/2004,Small,1
Rockaway,12/16/2004,Large,1
Rockaway,12/26/2004,Small,0
Rockaway,12/26/2004,Large,1
Rockaway,5/30/2005,Small,15
Rockaway,5/30/2005,Large,0
Rockaway,5/31/2005,Small,0
Rockaway,5/31/2005,Large,0
Rockaway,6/1/2005,Small,1
Rockaway,6/1/2005,Large,0
Rockaway,6/12/2005,Small,0
Rockaway,6/12/2005,Large,0
Rockaway,8/18/2005,Small,4
Rockaway,8/18/2005,Large,0
Rockaway,8/23/2005,Small,11
Rockaway,8/23/2005,Large,0
Rockaway,9/23/2005,Small,8
Rockaway,9/23/2005,Large,6
Rockaway,10/2/2005,Small,61
Rockaway,10/2/2005,Large,4
Rockaway,12/23/2008,Small,0
Rockaway,12/23/2008,Large,0
Rockaway,1/21/2009,Small,0
Rockaway,1/21/2009,Large,0
Rockaway,5/29/2006,Small,33
Rockaway,5/29/2006,Large,0
Rockaway,9/13/2006,Small,0
Rockaway,9/13/2006,Large,0
Rockaway,10/31/2006,Small,13
Rockaway,10/31/2006,Large,0
Rockaway,11/3/2006,Small,1
Rockaway,11/3/2006,Large,1
Rockaway,12/19/2006,Small,0
Rockaway,12/19/2006,Large,0
Rockaway,5/13/2007,Small,5
Rockaway,5/13/2007,Large,0
Rockaway,5/22/2007,Small,4
Rockaway,5/22/2007,Large,0
Rockaway,5/29/2007,Small,4
Rockaway,5/29/2007,Large,1
Rockaway,7/4/2007,Small,15
Rockaway,7/4/2007,Large,0
Rockaway,7/12/2007,Small,9
Rockaway,7/12/2007,Large,0
Rockaway,8/13/2007,Small,13
Rockaway,8/13/2007,Large,1
Rockaway,8/19/2007,Small,46
Rockaway,8/19/2007,Large,0
Rockaway,10/14/2007,Small,9
Rockaway,10/14/2007,Large,1
Rockaway,10/30/2007,Small,28
Rockaway,10/30/2007,Large,1
Rockaway,10/31/2007,Small,16
Rockaway,10/31/2007,Large,0
Rockaway,11/14/2007,Small,12
Rockaway,11/14/2007,Large,0
Rockaway,11/17/2007,Small,5
Rockaway,11/17/2007,Large,0
Rockaway,12/6/2007,Small,1
Rockaway,12/6/2007,Large,0
Rockaway,12/29/2014,Small,0
Rockaway,12/29/2014,Large,0
Rockaway,12/14/2014,Small,0
Rockaway,12/14/2014,Large,0
Rockaway,10/30/2014,Small,11
Rockaway,10/30/2014,Large,2
Rockaway,10/25/2014,Small,18
Rockaway,10/25/2014,Large,1
Rockaway,11/15/2014,Small,9
Rockaway,11/15/2014,Large,2
Rockaway,10/6/2014,Small,0
Rockaway,10/6/2014,Large,2
Rockaway,9/5/2014,Small,27
Rockaway,9/5/2014,Large,2
Rockaway,8/24/2014,Small,2
Rockaway,8/24/2014,Large,0
Rockaway,8/19/2014,Small,3
Rockaway,8/19/2014,Large,0
Rockaway,8/17/2014,Small,14
Rockaway,8/17/2014,Large,0
Rockaway,7/23/2014,Small,11
Rockaway,7/23/2014,Large,3
Rockaway,6/27/2014,Small,3
Rockaway,6/27/2014,Large,0
Rockaway,6/14/2014,Small,2
Rockaway,6/14/2014,Large,0
Rockaway,4/15/2015,Small,0
Rockaway,4/15/2015,Large,0
Rockaway,4/18/2015,Small,2
Rockaway,4/18/2015,Large,0
Rockaway,6/17/2015,Small,5
Rockaway,6/17/2015,Large,0
Rockaway,7/11/2015,Small,47
Rockaway,7/11/2015,Large,2
Rockaway,7/21/2015,Small,14
Rockaway,7/21/2015,Large,0
Rockaway,8/9/2015,Small,13
Rockaway,8/9/2015,Large,0
Rockaway,8/15/2015,Small,31
Rockaway,8/15/2015,Large,0
Rockaway,8/24/2015,Small,7
Rockaway,8/24/2015,Large,0
Rockaway,10/18/2015,Small,6
Rockaway,10/18/2015,Large,0
Rockaway,10/22/2015,Small,24
Rockaway,10/22/2015,Large,1
Rockaway,10/26/2015,Small,28
Rockaway,10/26/2015,Large,2
Rockaway,10/31/2015,Small,4
Rockaway,10/31/2015,Large,1
Rockaway,11/4/2015,Small,15
Rockaway,11/4/2015,Large,0
Rockaway,11/15/2015,Small,10
Rockaway,11/15/2015,Large,0
Rockaway,12/7/2015,Small,4
Rockaway,12/7/2015,Large,0
Rockaway,12/12/2015,Small,13
Rockaway,12/12/2015,Large,0
Rockaway,5/26/2008,Small,6
Rockaway,5/26/2008,Large,0
Rockaway,6/2/2008,Small,2
Rockaway,6/2/2008,Large,0
Rockaway,7/21/2008,Small,0
Rockaway,7/21/2008,Large,0
Rockaway,7/28/2008,Small,2
Rockaway,7/28/2008,Large,0
Rockaway,9/17/2008,Small,16
Rockaway,9/17/2008,Large,3
Rockaway,10/2/2008,Small,2
Rockaway,10/2/2008,Large,3
Rockaway,10/21/2008,Small,1
Rockaway,10/21/2008,Large,2
Rockaway,11/2/2008,Small,23
Rockaway,11/2/2008,Large,2
Rockaway,12/14/2008,Small,3
Rockaway,12/14/2008,Large,0
Rockaway,12/23/2008,Small,1
Rockaway,12/23/2008,Large,0
Rockaway,1/21/2009,Small,0
Rockaway,1/21/2009,Large,0
Shinnecock,4/7/1995,Small,0
Shinnecock,4/7/1995,Large,0
Shinnecock,5/14/1995,Small,1
Shinnecock,5/14/1995,Large,0
Shinnecock,6/10/1995,Small,3
Shinnecock,6/10/1995,Large,0
Shinnecock,7/9/1995,Small,4
Shinnecock,7/9/1995,Large,0
Shinnecock,8/19/1995,Small,0
Shinnecock,8/19/1995,Large,0
Shinnecock,9/2/1995,Small,0
Shinnecock,9/2/1995,Large,0
Shinnecock,10/9/1995,Small,1
Shinnecock,10/9/1995,Large,0
Shinnecock,11/17/1995,Small,2
Shinnecock,11/17/1995,Large,0
Shinnecock,4/21/1996,Small,0
Shinnecock,4/21/1996,Large,0
Shinnecock,5/22/1996,Small,1
Shinnecock,5/22/1996,Large,0
Shinnecock,6/26/1996,Small,0
Shinnecock,6/26/1996,Large,0
Shinnecock,7/6/1996,Small,1
Shinnecock,7/6/1996,Large,0
Shinnecock,8/25/1996,Small,0
Shinnecock,8/25/1996,Large,0
Shinnecock,9/21/1996,Small,0
Shinnecock,9/21/1996,Large,0
Shinnecock,10/26/1996,Small,1
Shinnecock,10/26/1996,Large,0
Shinnecock,11/11/1996,Small,0
Shinnecock,11/11/1996,Large,0
Shinnecock,4/22/1997,Small,0
Shinnecock,4/22/1997,Large,0
Shinnecock,4/26/1997,Small,0
Shinnecock,4/26/1997,Large,1
Shinnecock,5/11/1997,Small,0
Shinnecock,5/11/1997,Large,0
Shinnecock,5/27/1997,Small,0
Shinnecock,5/27/1997,Large,0
Shinnecock,7/5/1997,Small,2
Shinnecock,7/5/1997,Large,0
Shinnecock,7/29/1997,Small,0
Shinnecock,7/29/1997,Large,0
Shinnecock,8/16/1997,Small,1
Shinnecock,8/16/1997,Large,0
Shinnecock,8/25/1997,Small,0
Shinnecock,8/25/1997,Large,0
Shinnecock,9/4/1997,Small,0
Shinnecock,9/4/1997,Large,0
Shinnecock,9/14/1997,Small,8
Shinnecock,9/14/1997,Large,0
Shinnecock,10/4/1997,Small,11
Shinnecock,10/4/1997,Large,6
Shinnecock,10/8/1997,Small,0
Shinnecock,10/8/1997,Large,0
Shinnecock,11/21/1997,Small,0
Shinnecock,11/21/1997,Large,0
Shinnecock,5/3/2000,Small,5
Shinnecock,5/3/2000,Large,0
Shinnecock,5/27/2000,Small,2
Shinnecock,5/27/2000,Large,0
Shinnecock,6/10/2000,Small,5
Shinnecock,6/10/2000,Large,0
Shinnecock,6/30/2000,Small,0
Shinnecock,6/30/2000,Large,0
Shinnecock,5/11/2001,Small,0
Shinnecock,5/11/2001,Large,0
Shinnecock,6/9/2001,Small,7
Shinnecock,6/9/2001,Large,0
Shinnecock,6/21/2001,Small,0
Shinnecock,6/21/2001,Large,0
Shinnecock,7/7/2001,Small,6
Shinnecock,7/7/2001,Large,0
Shinnecock,7/30/2001,Small,0
Shinnecock,7/30/2001,Large,0
Shinnecock,8/16/2001,Small,12
Shinnecock,8/16/2001,Large,0
Shinnecock,10/25/2001,Small,0
Shinnecock,10/25/2001,Large,0
Shinnecock,11/21/2001,Small,0
Shinnecock,11/21/2001,Large,0
Shinnecock,12/1/2001,Small,2
Shinnecock,12/1/2001,Large,0
Shinnecock,12/22/2001,Small,0
Shinnecock,12/22/2001,Large,0
Shinnecock,6/8/2002,Small,6
Shinnecock,6/8/2002,Large,0
Shinnecock,6/26/2002,Small,4
Shinnecock,6/26/2002,Large,1
Shinnecock,7/8/2002,Small,9
Shinnecock,7/8/2002,Large,0
Shinnecock,7/30/2002,Small,3
Shinnecock,7/30/2002,Large,0
Shinnecock,8/25/2002,Small,12
Shinnecock,8/25/2002,Large,0
Shinnecock,8/26/2002,Small,6
Shinnecock,8/26/2002,Large,0
Shinnecock,9/13/2002,Small,15
Shinnecock,9/13/2002,Large,0
Shinnecock,9/29/2002,Small,15
Shinnecock,9/29/2002,Large,0
Shinnecock,10/15/2002,Small,1
Shinnecock,10/15/2002,Large,0
Shinnecock,10/31/2002,Small,0
Shinnecock,10/31/2002,Large,0
Shinnecock,11/15/2002,Small,0
Shinnecock,11/15/2002,Large,0
Shinnecock,12/7/2002,Small,1
Shinnecock,12/7/2002,Large,0
Shinnecock,12/13/2002,Small,4
Shinnecock,12/13/2002,Large,1
Shinnecock,5/29/2003,Small,0
Shinnecock,5/29/2003,Large,0
Shinnecock,5/31/2003,Small,12
Shinnecock,5/31/2003,Large,0
Shinnecock,6/6/2003,Small,0
Shinnecock,6/6/2003,Large,0
Shinnecock,6/24/2003,Small,3
Shinnecock,6/24/2003,Large,0
Shinnecock,7/6/2003,Small,3
